country,sex,year,ASIRsmooth
Croatia,1,2006,3.035838375
Croatia,1,2007,3.177875412
Croatia,1,2008,3.317588556
Croatia,1,2009,3.506550521
Croatia,1,2010,3.729583483
Croatia,1,2011,3.964943018
Croatia,1,2012,4.221946144
Croatia,1,2013,4.538603838
Croatia,1,2014,4.861699423
Croatia,1,2015,5.159230224
Croatia,1,2016,5.452975921
Croatia,1,2017,5.729168895
Cyprus,1,1998,2.80944978
Cyprus,1,1999,2.621840337
Cyprus,1,2000,2.690455319
Cyprus,1,2001,3.069295095
Cyprus,1,2002,3.654002358
Cyprus,1,2003,3.930525656
Cyprus,1,2004,4.082912997
Cyprus,1,2005,4.096438139
Cyprus,1,2006,3.898186842
Cyprus,1,2007,4.539704204
Cyprus,1,2008,5.900590617
Cyprus,1,2009,7.541000989
Cyprus,1,2010,8.578833417
Cyprus,1,2011,8.64477828
Cyprus,1,2012,8.387272076
Cyprus,1,2013,8.642189638
Cyprus,1,2014,10.47035996
Cyprus,1,2015,12.05010391
Cyprus,1,2016,12.74342325
Cyprus,1,2017,12.61832676
Czech Republic,1,1983,0.938447716
Czech Republic,1,1984,1.015990071
Czech Republic,1,1985,1.082681127
Czech Republic,1,1986,1.138986719
Czech Republic,1,1987,1.184918479
Czech Republic,1,1988,1.212834509
Czech Republic,1,1989,1.231526619
Czech Republic,1,1990,1.243052936
Czech Republic,1,1991,1.259514154
Czech Republic,1,1992,1.296357545
Czech Republic,1,1993,1.33409188
Czech Republic,1,1994,1.357148562
Czech Republic,1,1995,1.406531657
Czech Republic,1,1996,1.464103744
Czech Republic,1,1997,1.532598218
Czech Republic,1,1998,1.595972635
Czech Republic,1,1999,1.611654384
Czech Republic,1,2000,1.632623282
Czech Republic,1,2001,1.681885348
Czech Republic,1,2002,1.751976416
Czech Republic,1,2003,1.84983604
Czech Republic,1,2004,1.996714369
Czech Republic,1,2005,2.165142358
Czech Republic,1,2006,2.363267528
Czech Republic,1,2007,2.561786166
Czech Republic,1,2008,2.71711875
Czech Republic,1,2009,2.858341959
Czech Republic,1,2010,2.988481539
Czech Republic,1,2011,3.100069916
Czech Republic,1,2012,3.186351147
Czech Republic,1,2013,3.249892673
Czech Republic,1,2014,3.288119066
Czech Republic,1,2015,3.302362152
Czech Republic,1,2016,3.290551673
Czech Republic,1,2017,3.253919348
Denmark,1,1980,0.921764229
Denmark,1,1981,0.950952807
Denmark,1,1982,0.972420655
Denmark,1,1983,0.985512876
Denmark,1,1984,0.99089402
Denmark,1,1985,0.99092532
Denmark,1,1986,0.983748372
Denmark,1,1987,0.964814001
Denmark,1,1988,0.913755398
Denmark,1,1989,0.858887368
Denmark,1,1990,0.820899458
Denmark,1,1991,0.790908579
Denmark,1,1992,0.793029021
Denmark,1,1993,0.843928709
Denmark,1,1994,0.908117083
Denmark,1,1995,0.991010814
Denmark,1,1996,1.078269742
Denmark,1,1997,1.153562501
Denmark,1,1998,1.2131543
Denmark,1,1999,1.216043332
Denmark,1,2000,1.19022535
Denmark,1,2001,1.174332877
Denmark,1,2002,1.152911939
Denmark,1,2003,1.144059749
Denmark,1,2004,1.193911855
Denmark,1,2005,1.271105946
Denmark,1,2006,1.34835454
Denmark,1,2007,1.408460246
Denmark,1,2008,1.479947441
Denmark,1,2009,1.577025099
Denmark,1,2010,1.688020988
Denmark,1,2011,1.815408478
Denmark,1,2012,1.960720002
Denmark,1,2013,2.120508669
Denmark,1,2014,2.294226565
Denmark,1,2015,2.482020312
Denmark,1,2016,2.681253129
Denmark,1,2017,2.892728308
Ecuador,1,1985,3.679230016
Ecuador,1,1986,3.246241447
Ecuador,1,1987,2.874903973
Ecuador,1,1988,2.57912789
Ecuador,1,1989,2.364032152
